city,country,country_clean,continent_name,median_salary,average_salary,rent_usd_proxy,utilities_usd_proxy,grocery_item_price_median,salary_pr,rent_pr,grocery_pr,utilities_pr,affordability_score,cluster_label
Seoul,South Korea,South Korea,Asia,2593.42,2889.81,1236.81,110.36,3.465,0.483378071,0.768971769,0.85041948,0.784385027,34.01429461,Low Salary–Low Cost
Shanghai,China,China,Asia,3684.93,4027.4,1326.76,88.21,2.055,0.578050795,0.800828801,0.509310415,0.54513369,45.96994297,Low Salary–Low Cost
Guangzhou,China,China,Asia,3684.93,4027.4,610.665,59.65,1.67,0.578050795,0.495467495,0.412727645,0.208663102,57.21798396,High Cost–Low Salary
Mumbai,India,India,Asia,327.97,384.43,611.1,43.57,1.145,0.073095189,0.495726496,0.16226724,0.099251337,37.51999558,High Cost–Low Salary
Delhi,India,India,Asia,327.97,384.43,279.495,49.99,1.025,0.073095189,0.234395234,0.108144056,0.133903743,44.96247876,High Cost–Low Salary
Dhaka,Bangladesh,Bangladesh,Asia,218.57,236.71,175.295,41.53,1.21,0.020132149,0.128205128,0.199508901,0.089197861,43.36531194,High Cost–Low Salary
Osaka,Japan,Japan,Asia,3158.67,3453.12,834.065,128.77,3.13,0.501342143,0.612017612,0.789441375,0.897860963,39.48853455,Low Salary–Low Cost
Jakarta,Indonesia,Indonesia,Asia,678.91,788.83,560.315,79.85,1.88,0.140925046,0.462574463,0.4682832,0.428877005,33.97184173,High Cost–Low Salary
Shenzhen,China,China,Asia,3684.93,4027.4,812.455,81.84,1.48,0.578050795,0.603470603,0.323613669,0.462245989,55.03227134,Low Salary–Low Cost
Kinshasa,Congo,Congo,,,,1580,127.5,3.375,,0.854700855,0.835788828,0.890695187,,
Bangkok,Thailand,Thailand,Asia,2432.28,2662.11,777.895,83.6,1.78,0.444972125,0.585858586,0.441886638,0.479037433,46.36922166,Low Salary–Low Cost
Karachi,Pakistan,Pakistan,Asia,245.34,284.9,141.795,32.04,1.07,0.026429899,0.092204092,0.12645795,0.041390374,46.28028177,High Cost–Low Salary
Cairo,Egypt,Egypt,Africa,254.53,298.51,215.375,48.65,0.775,0.049969027,0.176638177,0.036832413,0.124171123,46.72499309,High Cost–Low Salary
Sao Paulo,Brazil,Brazil,South America,1490.04,1711.16,627.57,69.27,1.52,0.310241586,0.502978503,0.344280745,0.305989305,44.52205529,High Cost–Low Salary
Mexico City,Mexico,Mexico,Central America,1681.97,1917.34,808.685,84.28,1.535,0.367953748,0.601916602,0.351851852,0.485561497,43.88492781,High Cost–Low Salary
Lagos,Nigeria,Nigeria,Africa,389.85,438.91,1828.995,68.08,1.915,0.095395416,0.9000259,0.476263556,0.292941176,21.27914629,High Cost–Low Salary
Kolkata,India,India,Asia,327.97,384.43,198.445,34.08,1.055,0.073095189,0.156177156,0.120216902,0.051016043,47.09091229,High Cost–Low Salary
Beijing,China,China,Asia,3684.93,4027.4,1326.435,86.62,1.96,0.578050795,0.800569801,0.48731328,0.527272727,46.50566549,Low Salary–Low Cost
Moscow,Russia,Russia,Europe,975.51,1065.68,1153.16,145.92,1.825,0.211232707,0.73996374,0.456619603,0.94171123,28.22159364,Low Salary–Low Cost
Tokyo,Japan,Japan,Asia,3158.67,3453.12,1255.935,105.9,3.415,0.501342143,0.779072779,0.842132187,0.745668449,35.01930169,Low Salary–Low Cost
Manila,Philippines,Philippines,Asia,728.78,790.54,627.095,72.61,1.645,0.156721041,0.502201502,0.405054225,0.345775401,35.45105296,High Cost–Low Salary
New York,United States,United States,Northern America,6966,7925,4065.425,145.62,4.245,0.880446005,0.996891997,0.945262943,0.941069519,45.48939386,High Salary–Moderate Cost
Istanbul,Turkey,Turkey,Asia,254.1,286.13,602.375,68.88,1.49,0.0415032,0.490546491,0.327501535,0.303529412,31.74382001,High Cost–Low Salary
Buenos Aires,Argentina,Argentina,South America,110.28,129.42,378.26,89.76,1.255,0.009911212,0.331261331,0.219971353,0.562245989,35.00337032,High Cost–Low Salary
Bangalore,India,India,Asia,327.97,384.43,298.19,37.25,1.195,0.073095189,0.253820254,0.191119296,0.068342246,43.14515595,High Cost–Low Salary
Lahore,Pakistan,Pakistan,Asia,245.34,284.9,149.765,54.62,0.77,0.026429899,0.1004921,0.035911602,0.171229947,47.23481065,High Cost–Low Salary
Chennai,India,India,Asia,327.97,384.43,220.22,34.67,1.275,0.073095189,0.181041181,0.231328013,0.054545455,44.22944239,High Cost–Low Salary
Chengdu,China,China,Asia,3684.93,4027.4,443.675,90.75,1.41,0.578050795,0.378917379,0.295477798,0.578074866,60.62967498,Low Salary–Low Cost
London,United Kingdom,United Kingdom,Europe,6300,7235.37,2624.655,104.69,2.73,0.728370845,0.96995597,0.700532024,0.724812834,44.53493833,High Salary–Moderate Cost
Wuhan,China,China,Asia,3684.93,4027.4,361.935,76.81,1.555,0.578050795,0.318829319,0.360957643,0.394010695,61.74260045,High Cost–Low Salary
Hyderabad,India,India,Asia,327.97,384.43,225.255,39.26,1.145,0.073095189,0.185962186,0.16226724,0.078074866,45.36998567,High Cost–Low Salary
Tehran,Iran,Iran,Asia,932.63,1070.97,731.555,91.91,0.965,0.192649184,0.559440559,0.086965418,0.590909091,40.95259141,High Cost–Low Salary
Paris,France,France,Europe,3769.56,4377.38,1715.56,136.1,2.865,0.630807351,0.881895882,0.729179456,0.919251337,40.31312469,Low Salary–Low Cost
Nagoya,Japan,Japan,Asia,3158.67,3453.12,2017.535,96.79,2.815,0.501342143,0.925666926,0.718641293,0.647807487,34.31357073,High Salary–High Cost
Ho Chi Minh City,Vietnam,Vietnam,Asia,612.57,711.24,552.395,88.58,1.265,0.129878175,0.456358456,0.227235523,0.548770053,37.7963866,High Cost–Low Salary
Los Angeles,United States,United States,Northern America,6966,7925,3063.56,133,3.82,0.880446005,0.987049987,0.897380806,0.912192513,46.83747186,High Salary–Moderate Cost
Baoding,China,China,Asia,3684.93,4027.4,,99.65,1.14,0.578050795,,0.159504809,0.672406417,,
Lima,Peru,Peru,South America,1825.86,1997.36,606.19,71.32,1.57,0.392525294,0.494949495,0.367607939,0.329839572,48.25117069,High Cost–Low Salary
Rio de Janeiro,Brazil,Brazil,South America,1490.04,1711.16,485.265,64.31,1.455,0.310241586,0.406630407,0.315428688,0.253903743,47.76822664,High Cost–Low Salary
Tianjin,China,China,Asia,3684.93,4027.4,480.45,76.64,1.365,0.578050795,0.403522404,0.276140782,0.391550802,61.33391002,High Cost–Low Salary
Nanyang,China,China,Asia,3684.93,4027.4,113.88,83.51,1.155,0.578050795,0.055426055,0.168405975,0.477433155,71.76160309,High Cost–Low Salary
Shijiazhuang,China,China,Asia,3684.93,4027.4,249.12,76.64,1.25,0.578050795,0.209272209,0.217208922,0.391550802,67.36880207,High Cost–Low Salary
Zhengzhou,China,China,Asia,3684.93,4027.4,298.945,110.32,1.07,0.578050795,0.254597255,0.124309392,0.783636364,66.13323872,Low Salary–Low Cost
Luanda,Angola,Angola,Africa,284.39,314.39,283.505,208.25,2.185,0.052653314,0.236985237,0.556271741,0.985668449,30.65425771,Low Salary–Low Cost
Weifang,China,China,Asia,3684.93,4027.4,,78.3,1.14,0.578050795,,0.159504809,0.414652406,,
Linyi,China,China,Asia,3684.93,4027.4,284.71,71.18,1.125,0.578050795,0.238539239,0.149273583,0.32855615,68.31080638,High Cost–Low Salary
Chicago,United States,United States,Northern America,6966,7925,2209.56,95.95,3.34,0.880446005,0.944314944,0.83046859,0.636470588,50.62270188,High Salary–Moderate Cost
Hanoi,Vietnam,Vietnam,Asia,612.57,711.24,394.045,72.53,1.185,0.129878175,0.341103341,0.184980561,0.344812834,42.54264982,High Cost–Low Salary
Chongqing,China,China,Asia,3684.93,4027.4,291.47,55.52,1.34,0.578050795,0.246050246,0.263147125,0.179786096,66.58941062,High Cost–Low Salary
